  Event Name,       Type,     Event ID,    Version,    Channel,      Level,     Opcode,       Task,            Keyword,        PID,        TID,     Processor Number,  Instance ID,   Parent Instance ID,                              Activity ID,                      Related Activity ID,           Clock-Time, Kernel(ms),   User(ms), User Data
     Unknown,         11,           11,          0,          0,          0,          0,          0, 0x0000000000000000, 0x000015D4, 0x00000928,                    2,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134329345363672509,          0,          0, "Unknown", "", "Unknown( 11): GUID=4d0a826c-214c-3a52-d413-1c62238d98a9 (No Format Information found).", "", "", {4d0a826c-214c-3a52-d413-1c62238d98a9}, " 11", "2026-09-03T19:42:16.367Z",        0, "", "", "2026-09-03T18:42:16.367250900Z", {00000000-0000-0000-0000-000000000000}
     Unknown,         14,           14,          0,          0,          0,          0,          0, 0x0000000000000000, 0x000015D4, 0x00000928,                    2,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134329345363672620,          0,          0, "Unknown", "", "Unknown( 14): GUID=4d0a826c-214c-3a52-d413-1c62238d98a9 (No Format Information found).", "", "", {4d0a826c-214c-3a52-d413-1c62238d98a9}, " 14", "2026-09-03T19:42:16.367Z",        0, "", "", "2026-09-03T18:42:16.367262000Z", {00000000-0000-0000-0000-000000000000}
     Unknown,         14,           14,          0,          0,          0,          0,          0, 0x0000000000000000, 0x000015D4, 0x00000928,                    2,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134329345363672625,          0,          0, "Unknown", "", "Unknown( 14): GUID=4224fc64-62d2-39ef-e09d-540716e6c5d6 (No Format Information found).", "", "", {4224fc64-62d2-39ef-e09d-540716e6c5d6}, " 14", "2026-09-03T19:42:16.367Z",        0, "", "", "2026-09-03T18:42:16.367262500Z", {00000000-0000-0000-0000-000000000000}
     Unknown,         16,           16,          0,          0,          0,          0,          0, 0x0000000000000000, 0x000015D4, 0x00000928,                    2,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134329345363672628,          0,          0, "Unknown", "", "Unknown( 16): GUID=4224fc64-62d2-39ef-e09d-540716e6c5d6 (No Format Information found).", "", "", {4224fc64-62d2-39ef-e09d-540716e6c5d6}, " 16", "2026-09-03T19:42:16.367Z",        0, "", "", "2026-09-03T18:42:16.367262800Z", {00000000-0000-0000-0000-000000000000}
     Unknown,         24,           24,          0,          0,          0,          0,          0, 0x0000000000000000, 0x000015D4, 0x00000928,                    2,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134329345363672632,          0,          0, "Unknown", "", "Unknown( 24): GUID=0fb1d466-81b3-31a7-af11-67046103ae69 (No Format Information found).", "", "", {0fb1d466-81b3-31a7-af11-67046103ae69}, " 24", "2026-09-03T19:42:16.367Z",        0, "", "", "2026-09-03T18:42:16.367263200Z", {00000000-0000-0000-0000-000000000000}
     Unknown,         25,           25,          0,          0,          0,          0,          0, 0x0000000000000000, 0x000015D4, 0x00000928,                    2,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134329345363672634,          0,          0, "Unknown", "", "Unknown( 25): GUID=0fb1d466-81b3-31a7-af11-67046103ae69 (No Format Information found).", "", "", {0fb1d466-81b3-31a7-af11-67046103ae69}, " 25", "2026-09-03T19:42:16.367Z",        0, "", "", "2026-09-03T18:42:16.367263400Z", {00000000-0000-0000-0000-000000000000}
     Unknown,         46,           46,          0,          0,          0,          0,          0, 0x0000000000000000, 0x000015D4, 0x00000928,                    2,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134329345363672661,          0,          0, "Unknown", "", "Unknown( 46): GUID=4d0a826c-214c-3a52-d413-1c62238d98a9 (No Format Information found).", "", "", {4d0a826c-214c-3a52-d413-1c62238d98a9}, " 46", "2026-09-03T19:42:16.367Z",        0, "", "", "2026-09-03T18:42:16.367266100Z", {00000000-0000-0000-0000-000000000000}
     Unknown,         45,           45,          0,          0,          0,          0,          0, 0x0000000000000000, 0x000015D4, 0x00000928,                    2,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134329345363672665,          0,          0, "Unknown", "", "Unknown( 45): GUID=4d0a826c-214c-3a52-d413-1c62238d98a9 (No Format Information found).", "", "", {4d0a826c-214c-3a52-d413-1c62238d98a9}, " 45", "2026-09-03T19:42:16.367Z",        0, "", "", "2026-09-03T18:42:16.367266500Z", {00000000-0000-0000-0000-000000000000}
     Unknown,         24,           24,          0,          0,          0,          0,          0, 0x0000000000000000, 0x000015D4, 0x00000928,                    2,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134329345363672668,          0,          0, "Unknown", "", "Unknown( 24): GUID=0fb1d466-81b3-31a7-af11-67046103ae69 (No Format Information found).", "", "", {0fb1d466-81b3-31a7-af11-67046103ae69}, " 24", "2026-09-03T19:42:16.367Z",        0, "", "", "2026-09-03T18:42:16.367266800Z", {00000000-0000-0000-0000-000000000000}
     Unknown,         25,           25,          0,          0,          0,          0,          0, 0x0000000000000000, 0x000015D4, 0x00000928,                    2,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134329345363672670,          0,          0, "Unknown", "", "Unknown( 25): GUID=0fb1d466-81b3-31a7-af11-67046103ae69 (No Format Information found).", "", "", {0fb1d466-81b3-31a7-af11-67046103ae69}, " 25", "2026-09-03T19:42:16.367Z",        0, "", "", "2026-09-03T18:42:16.367267000Z", {00000000-0000-0000-0000-000000000000}
     Unknown,         47,           47,          0,          0,          0,          0,          0, 0x0000000000000000, 0x000015D4, 0x00000928,                    2,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134329345363672674,          0,          0, "Unknown", "", "Unknown( 47): GUID=4d0a826c-214c-3a52-d413-1c62238d98a9 (No Format Information found).", "", "", {4d0a826c-214c-3a52-d413-1c62238d98a9}, " 47", "2026-09-03T19:42:16.367Z",        0, "", "", "2026-09-03T18:42:16.367267400Z", {00000000-0000-0000-0000-000000000000}
     Unknown,         17,           17,          0,          0,          0,          0,          0, 0x0000000000000000, 0x000015D4, 0x00000928,                    2,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134329345363672679,          0,          0, "Unknown", "", "Unknown( 17): GUID=4224fc64-62d2-39ef-e09d-540716e6c5d6 (No Format Information found).", "", "", {4224fc64-62d2-39ef-e09d-540716e6c5d6}, " 17", "2026-09-03T19:42:16.367Z",        0, "", "", "2026-09-03T18:42:16.367267900Z", {00000000-0000-0000-0000-000000000000}
     Unknown,         18,           18,          0,          0,          0,          0,          0, 0x0000000000000000, 0x000015D4, 0x00000928,                    2,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134329345363672681,          0,          0, "Unknown", "", "Unknown( 18): GUID=4224fc64-62d2-39ef-e09d-540716e6c5d6 (No Format Information found).", "", "", {4224fc64-62d2-39ef-e09d-540716e6c5d6}, " 18", "2026-09-03T19:42:16.367Z",        0, "", "", "2026-09-03T18:42:16.367268100Z", {00000000-0000-0000-0000-000000000000}
     Unknown,         15,           15,          0,          0,          0,          0,          0, 0x0000000000000000, 0x000015D4, 0x00000928,                    2,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134329345363672684,          0,          0, "Unknown", "", "Unknown( 15): GUID=4d0a826c-214c-3a52-d413-1c62238d98a9 (No Format Information found).", "", "", {4d0a826c-214c-3a52-d413-1c62238d98a9}, " 15", "2026-09-03T19:42:16.367Z",        0, "", "", "2026-09-03T18:42:16.367268400Z", {00000000-0000-0000-0000-000000000000}
     Unknown,         14,           14,          0,          0,          0,          0,          0, 0x0000000000000000, 0x000015D4, 0x00000928,                    2,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134329345363672704,          0,          0, "Unknown", "", "Unknown( 14): GUID=4d0a826c-214c-3a52-d413-1c62238d98a9 (No Format Information found).", "", "", {4d0a826c-214c-3a52-d413-1c62238d98a9}, " 14", "2026-09-03T19:42:16.367Z",        0, "", "", "2026-09-03T18:42:16.367270400Z", {00000000-0000-0000-0000-000000000000}
